datetime,symbol,open,high,low,close,volume
2024-12-30 15:30:00,NYSE:NEM,37.42,38.85,36.86,38.11,31408711.0
2025-01-06 15:30:00,NYSE:NEM,38.07,40.26,37.68,39.1,34070939.0
2025-01-13 15:30:00,NYSE:NEM,38.93,42.14,38.53,41.67,48036239.0
2025-01-21 15:30:00,NYSE:NEM,42.11,42.85,41.05,42.04,26149002.0
2025-01-27 15:30:00,NYSE:NEM,41.64,43.62,40.845,42.72,42646494.0
2025-02-03 15:30:00,NYSE:NEM,42.9,45.84,42.655,44.84,51104009.0
2025-02-10 15:30:00,NYSE:NEM,46.0,47.995,45.11,46.54,55714296.0
2025-02-18 15:30:00,NYSE:NEM,47.39,48.23,45.15,45.33,48950099.0
2025-02-24 15:30:00,NYSE:NEM,45.41,45.465,41.23,42.84,67593886.0
2025-03-03 15:30:00,NYSE:NEM,43.7,45.04,41.93,43.87,52719610.0
2025-03-10 14:30:00,NYSE:NEM,43.5,46.83,42.03,46.24,48201747.0
2025-03-17 14:30:00,NYSE:NEM,46.7,48.675,46.35,47.36,67853559.0
2025-03-24 14:30:00,NYSE:NEM,47.25,49.52,46.6,48.08,47423815.0
2025-03-31 15:30:00,NYSE:NEM,48.5,49.315,43.59,44.18,69253853.0
2025-04-07 15:30:00,NYSE:NEM,43.54,55.86,42.933,54.97,118142582.0
2025-04-14 15:30:00,NYSE:NEM,53.7,57.08,53.17,55.08,58894022.0
2025-04-21 15:30:00,NYSE:NEM,57.0,57.16,51.6407,53.94,85151507.0
2025-04-28 15:30:00,NYSE:NEM,53.51,54.12,50.77,51.53,52205450.0
2025-05-05 15:30:00,NYSE:NEM,52.8,54.74,52.25,53.98,54895246.0
2025-05-12 15:30:00,NYSE:NEM,51.02,51.77,48.27,50.1,79097955.0
2025-05-19 15:30:00,NYSE:NEM,50.78,53.8,49.995,53.65,53283401.0
2025-05-27 15:30:00,NYSE:NEM,52.55,53.18,51.8,52.72,46241586.0
2025-06-02 15:30:00,NYSE:NEM,53.9,56.53,53.86,54.51,55812137.0
